,artist,title
332,The Shirelles,Will You Still Love Me Tomorrow
333,Neil Young & Crazy Horse,Cinnamon Girl
334,The Paragons,The Tide Is High
335,The Mamas & the Papas,California Dreamin’
336,Del Shannon,Runaway
337,Stan Getz & João Gilberto,The Girl From Ipanema” [ft. Antônio Carlos Jobim]
338,The Rolling Stones,Street Fighting Man
339,The Supremes,You Keep Me Hangin’ On
340,Sly & the Family Stone,Hot Fun in the Summertime
341,The Velvet Underground,Sunday Morning
342,The Beatles,I Want to Hold Your Hand
343,Tommy James & the Shondells,Crimson and Clover
344,Serge Gainsbourg and Brigitte Bardot,Bonnie and Clyde
345,Jackie Wilson,(Your Love Keeps Lifting Me) Higher and Higher
346,The Monkees,Daydream Believer
347,Led Zeppelin,Whole Lotta Love
348,Ray Charles,Georgia on My Mind
349,Ike & Tina Turner,River Deep - Mountain High
350,Love,Alone Again Or
351,Lee Hazlewood & Nancy Sinatra,Some Velvet Morning
352,David Bowie,Space Oddity
353,The Beatles,Eleanor Rigby
354,The Creation,Making Time
355,Dusty Springfield,Son of a Preacher Man
356,The Supremes,Where Did Our Love Go
357,Vince Guaraldi Trio,Linus and Lucy
358,The Band,The Night They Drove Old Dixie Down
359,Leonard Cohen,Suzanne
360,The Zombies,This Will Be Our Year
361,The Rolling Stones,Sympathy for the Devil
362,The Meters,Cissy Strut
363,Simon & Garfunkel,The Sound of Silence
364,13th Floor Elevators,You’re Gonna Miss Me
365,Johnny Cash,Ring of Fire
366,The Who,The Kids Are Alright
367,James Brown & the Famous Flames,It’s a Man’s Man’s Man’s World
368,Ennio Morricone,"The Good, the Bad, and the Ugly (Main Theme)"
369,Nico,These Days
370,The Shangri-Las,Leader of the Pack
371,The Kinks,Waterloo Sunset
372,Otis Redding,(Sittin’ on) The Dock of the Bay
373,The Velvet Underground,I’m Waiting for the Man
374,The Beatles,I Am the Walrus
375,The Rolling Stones,Paint It Black
376,The Supremes,You Can’t Hurry Love
377,Etta James,At Last
378,Marvin Gaye,I Heard It Through the Grapevine
379,The Beach Boys,Good Vibrations
380,The Shangri-Las,Out in the Streets
381,The Beatles,Tomorrow Never Knows
382,The Crystals,Then He Kissed Me
383,Creedence Clearwater Revival,Fortunate Son
384,The Stooges,I Wanna Be Your Dog
385,Aretha Franklin,Think
386,The Beach Boys,Don’t Worry Baby
387,The Band,The Weight
388,The Rolling Stones,Gimme Shelter
389,Led Zeppelin,Dazed and Confused
390,Desmond Dekker & the Aces,Israelites
391,The Who,I Can’t Explain
392,Johnny Cash,Folsom Prison Blues (Live at Folsom Prison)
393,The Beach Boys,Wouldn’t It Be Nice
394,The Ronettes,Be My Baby
395,The Beatles,A Day in the Life
396,Bob Dylan,Like a Rolling Stone
397,Sam Cooke,A Change Is Gonna Come
398,The Jackson 5,I Want You Back
399,The Beach Boys,God Only Knows
